x,y,L_track,R_track
0.017067326,-0.557841739,1.5,1.5
0.00870915,-0.398580142,1.5,1.5
0.003135613,-0.239196795,1.5,1.5
0.000348419,-0.079740384,1.5,1.5
0.000348419,0.079740384,1.5,1.5
0.003135613,0.239196795,1.5,1.5
0.00870915,0.398580142,1.5,1.5
0.017067326,0.557841739,1.5,1.5
0.028207589,0.716932939,1.5,1.5
0.042126537,0.875805147,1.5,1.5
0.058819917,1.034409833,1.5,1.5
0.07828263,1.192698551,1.5,1.5
0.100508732,1.35062295,1.5,1.5
0.125491433,1.508134791,1.5,1.5
0.153223102,1.665185961,1.5,1.5
0.183695268,1.821728488,1.5,1.5
0.216898623,1.977714553,1.5,1.5
0.252823025,2.133096511,1.5,1.5
0.291457501,2.287826898,1.5,1.5
0.332790249,2.441858451,1.5,1.5
0.376808644,2.59514412,1.5,1.5
0.423499241,2.747637083,1.5,1.5
0.472847777,2.899290759,1.5,1.5
0.524839178,3.050058825,1.5,1.5
0.579457563,3.199895227,1.5,1.5
0.636686249,3.348754197,1.5,1.5
0.696507755,3.496590265,1.5,1.5
0.758903808,3.643358272,1.5,1.5
0.823855348,3.789013389,1.5,1.5
0.891342535,3.933511122,1.5,1.5
0.961344755,4.076807335,1.5,1.5
1.033840626,4.218858256,1.5,1.5
1.108808003,4.359620495,1.5,1.5
1.186223986,4.499051055,1.5,1.5
1.266064928,4.637107346,1.5,1.5
1.348306441,4.773747197,1.5,1.5
1.432923405,4.90892887,1.5,1.5
1.519889971,5.042611075,1.5,1.5
1.609179576,5.174752976,1.5,1.5
1.700764945,5.305314209,1.5,1.5
1.794618103,5.434254894,1.5,1.5
1.890710382,5.561535644,1.5,1.5
1.989012429,5.687117581,1.5,1.5
2.089494217,5.810962346,1.5,1.5
2.192125054,5.933032108,1.5,1.5
2.296873591,6.05328958,1.5,1.5
2.40370783,6.171698029,1.5,1.5
2.512595138,6.288221286,1.5,1.5
2.623502256,6.402823759,1.5,1.5
2.736395305,6.51547044,1.5,1.5
2.851239802,6.626126922,1.5,1.5
2.968000667,6.734759403,1.5,1.5
3.086642234,6.841334701,1.5,1.5
3.207128263,6.945820261,1.5,1.5
3.32942195,7.048184168,1.5,1.5
3.453485941,7.148395154,1.5,1.5
3.579282338,7.246422608,1.5,1.5
3.706772717,7.342236588,1.5,1.5
3.835918135,7.435807826,1.5,1.5
3.966679142,7.52710774,1.5,1.5
4.099015798,7.616108442,1.5,1.5
4.232887679,7.702782746,1.5,1.5
4.368253892,7.787104177,1.5,1.5
4.50507309,7.869046978,1.5,1.5
4.643303479,7.948586119,1.5,1.5
4.782902837,8.025697304,1.5,1.5
4.92382852,8.10035698,1.5,1.5
5.066037484,8.17254234,1.5,1.5
5.209486288,8.242231334,1.5,1.5
5.354131116,8.309402677,1.5,1.5
5.499927784,8.37403585,1.5,1.5
5.646831757,8.436111111,1.5,1.5
5.794798164,8.495609497,1.5,1.5
5.943781806,8.552512835,1.5,1.5
6.093737175,8.606803744,1.5,1.5
6.244618466,8.658465639,1.5,1.5
6.396379592,8.70748274,1.5,1.5
6.548974195,8.753840075,1.5,1.5
6.702355665,8.797523483,1.5,1.5
6.85647715,8.83851962,1.5,1.5
7.011291573,8.876815965,1.5,1.5
7.166751643,8.91240082,1.5,1.5
7.322809876,8.945263314,1.5,1.5
7.479418601,8.97539341,1.5,1.5
7.636529981,9.002781904,1.5,1.5
7.794096026,9.02742043,1.5,1.5
7.952068606,9.049301462,1.5,1.5
8.110399466,9.068418316,1.5,1.5
8.269040244,9.084765154,1.5,1.5
8.427942481,9.098336981,1.5,1.5
8.587057639,9.109129652,1.5,1.5
8.746337117,9.117139871,1.5,1.5
8.905732259,9.12236519,1.5,1.5
9.065194379,9.124804014,1.5,1.5
9.224674767,9.124455597,1.5,1.5
9.384124708,9.121320046,1.5,1.5
9.543495498,9.115398319,1.5,1.5
9.702738455,9.106692225,1.5,1.5
9.861804937,9.095204422,1.5,1.5
10.02064636,9.080938421,1.5,1.5
10.17921419,9.063898578,1.5,1.5
10.33746001,9.044090099,1.5,1.5
10.49533548,9.021519034,1.5,1.5
10.65279237,8.996192277,1.5,1.5
10.80978258,8.968117566,1.5,1.5
10.96625816,8.937303475,1.5,1.5
11.12217131,8.903759417,1.5,1.5
11.27747441,8.867495639,1.5,1.5
11.43212003,8.828523216,1.5,1.5
11.58606091,8.786854055,1.5,1.5
11.73925005,8.742500882,1.5,1.5
11.89164064,8.695477247,1.5,1.5
12.04318615,8.645797512,1.5,1.5
12.19384027,8.593476853,1.5,1.5
12.34355699,8.538531251,1.5,1.5
12.49229057,8.48097749,1.5,1.5
12.6399956,8.42083315,1.5,1.5
12.78662694,8.358116604,1.5,1.5
12.93213981,8.292847007,1.5,1.5
13.07648976,8.225044297,1.5,1.5
