x,y,curvature,max_speed
1.013812796859886767e+01,2.874398339315959205e+01,2.148224687812669634e-02,3.378816889427101700e+01
1.043808838018177987e+01,2.873910984383599043e+01,1.016311979354135309e-01,1.553427487761857684e+01
1.073510511929662137e+01,2.878131241112266281e+01,5.240895648061335566e-01,6.840719011553217932e+00
1.103500491761794500e+01,2.877355928486098691e+01,5.559868712683753156e-01,6.641592716344439928e+00
1.133322738203889379e+01,2.874095005741389386e+01,2.768070182050285655e-01,9.412737762623505589e+00
1.163054604613098597e+01,2.870092991270533744e+01,8.295361614148821783e-02,1.719439291327904229e+01
1.192607349885002499e+01,2.864932056578642872e+01,1.302978762300088800e-01,1.371942277688771661e+01
1.211910822721526770e+01,2.841967389447382786e+01,2.282570768113847848e+00,3.277874958406598260e+00
1.235824274712265947e+01,2.823852566404178432e+01,7.434727944306858127e-01,5.743438399031283836e+00
1.262723003364004093e+01,2.810568801993434107e+01,6.309996405173174949e-01,6.234332371158034292e+00
1.290190856877043402e+01,2.798505758290196610e+01,1.496523606742244938e-01,1.280155487057463404e+01
1.314926945224040367e+01,2.781531485602108944e+01,6.244277485316083176e-01,6.267053626890088935e+00
1.340885671833977710e+01,2.766493383567924980e+01,2.544323413677584966e-01,9.817894269339523916e+00
1.366908463909219584e+01,2.751566418283288940e+01,1.425333443529160082e-02,4.148071850017318951e+01
1.392729041548750502e+01,2.736292330082648050e+01,4.463639062702423610e-02,2.344012769374694116e+01
1.418467170529421750e+01,2.720879714581885978e+01,1.791185352216361978e-02,3.700277061783475574e+01
1.443684751900088692e+01,2.704629373360428701e+01,1.095870023266964505e-01,1.495977233872640788e+01
1.468465862962712265e+01,2.687720898133433423e+01,8.774589428318245454e-02,1.671826118253882498e+01
1.492833214276996046e+01,2.670221407000081371e+01,8.016163693423908332e-02,1.749126499607385199e+01
1.517153329047668819e+01,2.652656327508621459e+01,8.980860149893259495e-03,4.700000000000000000e+01
1.540394414187306005e+01,2.633686563104914669e+01,1.968092592718717893e-01,1.116302107415255307e+01
1.562969003499634901e+01,2.613928326407787850e+01,1.147140968502214781e-01,1.462164087484149810e+01
1.585230821613170704e+01,2.593818342462497029e+01,5.229922802187483843e-02,2.165493421994563761e+01
